"Tissue","Comparison","Taxon","Family","Genus","AssociatedGroup","IndVal","p_value"
"Noninflamed","G4 Corticosteroids Only vs Mesalamine Only","8ec05512c8c6b5c2af1f53fccd4c1ae8","Unclassified_Family","Unclassified_Genus","Cor_only",0.831960757092081,0.033
"Noninflamed","G4 Corticosteroids Only vs Mesalamine Only","Lachnospiraceae (family-level)","Lachnospiraceae","Unclassified_Genus","Mes_only",0.753092689417534,0.042
"Noninflamed","G4 Corticosteroids Only vs Mesalamine Only","0eebf22536faa70d10968eb4972b2736","Unclassified_Family","Unclassified_Genus","Cor_only",0.534522483824849,0.047
"Noninflamed","G4 Corticosteroids Only vs Mesalamine Only","Marinilabiliaceae (family-level)","Marinilabiliaceae","Unclassified_Genus","Mes_only",0.777300550358441,0.048
"Noninflamed","G4 Corticosteroids Only vs Mesalamine Only","15ceb00ebfbfe7d69e79f08436f255f9","Unclassified_Family","Unclassified_Genus","Cor_only",0.524346367078477,0.048
"Noninflamed","G4 Corticosteroids Only vs Mesalamine Only","Ruminococcus (genus-level)","Ruminococcaceae","Ruminococcus","Cor_only",0.593036882567066,0.049
"Noninflamed","G5 Mesalamine Only vs No Medication","Geofilum (genus-level)","Marinilabiliaceae","Geofilum","NoMeds",0.552084816024682,0.02
"Noninflamed","G5 Mesalamine Only vs No Medication","Geofilum (genus-level)","Marinilabiliaceae","Geofilum","NoMeds",0.52896255082857,0.025
"Noninflamed","G5 Mesalamine Only vs No Medication","Lachnospiraceae (family-level)","Lachnospiraceae","Unclassified_Genus","NoMeds",0.583760789938228,0.026
"Noninflamed","G5 Mesalamine Only vs No Medication","Lachnospiraceae (family-level)","Lachnospiraceae","Unclassified_Genus","Mes_only",0.487024021757996,0.031
"Noninflamed","G5 Mesalamine Only vs No Medication","224d266b147588a000917723c0268775","Unclassified_Family","Unclassified_Genus","Mes_only",0.591718312998394,0.037
"Noninflamed","G5 Mesalamine Only vs No Medication","Christensenellaceae_R-7_group (genus-level)","Christensenellaceae","Christensenellaceae_R-7_group","Mes_only",0.443582329208536,0.039
"Noninflamed","G5 Mesalamine Only vs No Medication","UCG-002 (genus-level)","Oscillospiraceae","UCG-002","Mes_only",0.445095004354756,0.043
